Timestamp,Are you a student?,What operating system do you primarily use?,How many hours a week do you spend studying/doing homework?,What is your GPA?
10/29/2017 15:35:45,Yes,PC,7-8,3.01-3.25
10/29/2017 15:35:55,Yes,PC,3-4,3.51-3.75
10/29/2017 15:36:50,Yes,PC,7-8,3.51-3.75
10/29/2017 15:37:32,Yes,PC,9+,3.26-3.50
10/29/2017 15:37:45,Yes,PC,9+,3.76-4.00
10/29/2017 15:38:10,Yes,MAC,5-6,3.51-3.75
10/29/2017 15:38:25,Yes,PC,5-6,3.51-3.75
10/29/2017 15:38:48,Yes,MAC,9+,3.76-4.00
10/29/2017 15:39:03,Yes,MAC,5-6,3.51-3.75
10/29/2017 15:39:55,Yes,PC,7-8,3.51-3.75
10/29/2017 15:40:06,Yes,MAC,7-8,3.26-3.50
10/29/2017 15:42:47,Yes,MAC,9+,3.51-3.75
10/29/2017 15:44:22,Yes,PC,3-4,3.26-3.50
10/29/2017 15:44:50,Yes,MAC,7-8,3.01-3.25
10/29/2017 16:04:47,Yes,PC,9+,3.01-3.25
10/29/2017 16:06:08,Yes,PC,7-8,3.51-3.75
10/29/2017 16:06:57,Yes,MAC,9+,3.26-3.50
10/29/2017 16:09:09,Yes,MAC,9+,3.01-3.25
10/29/2017 16:09:41,Yes,PC,9+,3.76-4.00
10/29/2017 16:09:45,Yes,MAC,9+,3.01-3.25
10/29/2017 16:13:15,Yes,PC,3-4,3.26-3.50
10/29/2017 16:14:22,Yes,PC,7-8,3.76-4.00
10/29/2017 16:15:14,Yes,MAC,9+,3.76-4.00
10/29/2017 16:15:21,Yes,MAC,9+,3.26-3.50
10/29/2017 16:15:51,Yes,PC,5-6,3.01-3.25
10/29/2017 16:16:58,Yes,MAC,7-8,3.01-3.25
10/29/2017 16:23:21,Yes,MAC,7-8,3.51-3.75
10/29/2017 16:34:23,Yes,PC,7-8,3.26-3.50
10/29/2017 16:34:29,Yes,MAC,3-4,3.51-3.75
10/29/2017 16:37:17,Yes,PC,7-8,3.51-3.75
10/29/2017 16:44:30,Yes,MAC,5-6,3.26-3.50
10/29/2017 17:18:32,Yes,MAC,9+,3.51-3.75
10/29/2017 21:24:22,Yes,PC,7-8,3.51-3.75